Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
263.8,0,0
264,0.3367,2.501850314
264.2,0.37092,2.758547434
264.4,0.10445,0.777481875
264.6,0.6383,4.755409529
264.8,0.37172,2.771787203
265,0.11481,0.856848775
265.2,0.74824,5.589146852
265.4,0.52864,3.952249815
265.6,0.1414,1.058067015
265.8,0.60314,4.517112746
266,0.37272,2.793856939
266.2,0.026085,0.195699903
266.4,0.16877,1.267281109
266.6,0.37361,2.807849213
266.8,0.00017627,0.0013259
267,0,0
267.2,0.8264,6.226961443
267.4,0,0
267.6,0,0
267.8,0.32388,2.44679376
268,0.37497,2.835207418
268.2,0.12236,0.925981926
268.4,0.073729,0.558439027
268.6,0.19734,1.495982691
268.8,0.00004825,0.000366085
269,0.68676,5.215109653
269.2,0.89848,6.828728562
269.4,0.098336,0.748025861
269.6,0.50696,3.859669
269.8,0.52374,3.990837662
270,0.042875,0.326982161
270.2,0,0
270.4,0.2562,1.957227222
270.6,0.73865,5.647697321
270.8,0.38952,2.980799223
271,0.0041988,0.032158669
271.2,0.37789,2.896728932
271.4,0.58963,4.523673741
271.6,0.13282,1.019868295
271.8,0,0
272,0.2358,1.813682428
272.2,0.31752,2.44431093
272.4,0,0
272.6,0.26301,2.028114539
